GUID;ExtrusionX (mm)
0LMwIYlVPDrPIPWTO5K2o7;-5286.0
0UM6PXkwDDWvzFghqxYTqm;5000.0
0RvnpAW8f8FR$MciGiMZnE;5000.0
16A5Q2yXHCLOOCEn6kjrUa;5000.0
37yirEu1914hNqce$8nqlR;5000.0
1RKCv1T6z39wdTxwOYk5Od;5000.0
0hEGrEaab84RX6WBoujbe9;-5000.0
0BwhLzNV99OOHspHe22Dve;5000.0
2BvGEj6KzFr8nDRNCDdWxd;-5000.0
32v9Apr2X8iwBr$ywknrPg;-5000.0
1j8$_$l_T66eqmGHbITWEU;5000.0
1DkXZRqhHAtRbZGExL40gG;-5000.0
1onD$z7V9BmwanUWluRqTt;-5000.0
00fefj8fzCmgty9PGWfPyW;-4664.0
2H2D_VUOLEofFeR4hEsQvS;-4750.0
3Yvn1OOfbBueuAWif6PbHp;-5000.0
1vToCO7tbATgKaE1B$k8QQ;-4444.0
1l66VwbSX6ueaMww6UWD_2;4664.0
3vUlW0bC16gP0LIKaUhKoh;-5000.0
0enYHXl69EpvZCH1l76Mw_;-7480.0
3RMSu$d752sBillmLoDgit;-5000.0
2ma4fKDsn9GRNpW7zqRjlw;-4536.0
1dQm89XHP3Rx3d6NJkDtAz;-4710.0
0Dz6tgnXr9yxLalK1Cs1MV;-5000.0
2Yvg42Rxv94x_torKTsNo_;-4636.0
2gviWXQNrFiQllqmtYVB38;-5451.0
2vGE9ln0bEj9B9QWje3JKU;-5800.0
0_G0MevtXF0RoiKX2PlT$k;-3845.0
2GDENatbr1VP6A7RH37HCh;4102.0
1di$Obbmz0qRrD$j5jWUE0;-5236.0
2LfO97WiP2z9yTzOZm6bZJ;5703.0
2gg_gv4pr0CfO9fIJysUjP;4750.0
2x6Eho3GL2bg$QynoCLWwK;-10000.0
0s2czpvl1AaeUhehPMjoxD;-10000.0
1ttHjgWDv5h90pI9EDRgj3;-10000.0
1ZaJ7gjVr8LuQqbzINmOvx;-10000.0
3XUL_g2GvDWuEkeDiVFvat;4548.0
0GQosIGcT77QXblJpbKSFO;-4761.0
3sSMd2P317DuveXlvKNnB0;-5000.0
3Fn4t8pyrBbvVlNIr$8liZ;-5000.0
3w9Wsbvbv8XfvgTBqQpBq_;-5421.0
32m_tso754gwq_Wb9cK6f2;-5166.0
27OIWpeNr2vQVQp$7O6miB;-4306.0
04BvsmpDzEkQe_Ukkm6jQQ;-5146.0
2hteoTalvD9wdSjYAf2uEv;-5286.0
3PBrbGTtz4rxHF8kuZe8za;4536.0
2dEpuqEHvEgOR5tiz04ZXJ;-4417.0
0mKcjKBxfDRe51TqeqoyLv;-5800.0
1nfwP3XWfFmA9IQCnkcRNi;-4616.0
3zYNBW$If5AvRrhF320u68;-4621.0
33n0aLHNP9rxjRnpcF$AkQ;-4616.0
0Chqc5SxPBqeQyXZ2Du84Q;-5000.0
3pRc5j4MP9KfCrEqt1m9CE;-4536.0
1UsV6uhGP0vQ4elyR0kaSb;-4444.0
3BXol69gn4q8Hh85xGPuNR;4852.0
0jc_IYkLLF0RkGlNQWuX4U;-5800.0
2gWrXixpf6ZQZkUbnfOpeP;-4280.0
0U2LpRd_LE4QAAtf1LmlmH;-6935.0
1zh$iPPMXDBxOZg9Fgzwhx;-5800.0
3mfJ4ac7fC6e7hbvMw3ll3;-4548.0
095M19pRD8ywUyNYWXrp35;-5000.0
3RuYcZnDL4bBo8RcL_2471;-5000.0
1J7PhZhUXCD9q40X2neqmX;-5628.0
0bTuolog5DBwQOUrGW7nSs;-5000.0
0M3NlPSr5BDRwS9At_q$iA;-5036.0
3cnVXLOyz1ohEDseeRCTQy;-5800.0
0Yd5CaVA1599kuQs5$5WZs;-4616.0
39QEU$9Db6WeKbJ2Za7NXL;4536.0
3EDz8Jj9zFSwpAf$qDelDP;-4708.0
0lSwdUDzv9pue84WR3Uxb_;-9949.0
2ZIFSFjS18Bfzp14RcJllT;-5000.0
3G89ZwBk502Ayxmslw_zf8;-5286.0
3KPbJaO4v3LeyKFdYQHPUs;-4536.0
1bA5Mvr$b8DAEe1$TR6H7D;4536.0
2tfvejajjBpx2nBSpkHB$F;-4516.0
0IvQ8y_1542wCfKbKZH33d;-5236.0
05hsmLFQ9AgR60oydvOXH5;5000.0
2WZvQnrsDATwmTf87M1vfa;-4458.0
0ThneUSt18xPxjeNzmkzUl;-4351.0
1mqy735Xb19xcqc5BkhUnU;-5000.0
1JChAl1sL2WQ34Y9DX6_l8;-5623.0
28DX4fFzf1FBGlTuVtZKWN;-5800.0
38VrUhn$L6uRXj4POEF$BT;-4516.0
0I$aegk3L6g9aik2u0uup8;-4516.0
29$2BXhOPFMeZjgYQPhG9P;-5451.0
2YG0y_xmX54gQvU_L9lPd0;-5094.0
37XAlwyf10uRjvDOA2lp4R;-4443.0
33Yg1aOdfEOOVUvnT3ejiN;-5067.0
1C3ZPS3O95JQ7gy2APqRdy;-5800.0
1CgjRYLpjDdRxBGtG5uOon;-5462.0
3ECHQNma5FieujO86WbAl$;-5000.0
1bK7SHN_DFLvVrk5z_PyIV;-6730.0
3fKWuy8$1CYucXNmzmquL8;-5800.0
0bzYjh3a9CbOTRvnU3if5z;-5598.0
3kcUcL8NvB4e1Ivbv_lUAE;-5436.0
1zdx2QQgf6VupfH92ZTpx8;-5800.0
0uIwH2oePEqvyhFkFB5xYZ;-5000.0
21AEqSyQ59r9VPCiFa4DvC;4536.0
2JFAZWLnL5ORSxrvh2z7Yr;-4658.0
3a8ApQTBD7D8wfWoMau26P;-4616.0
0eHP9Xou96mvbqtXtDtOgM;-5000.0
0EvMEdsXb41xeUauni2yHz;-4787.0
0XG6NYZhfDev92YYz8NcMO;-5000.0
2jj1yphhDAax8FF2nIDHG5;-5000.0
1q2PLA0ML0Oh$Wd_$Gk3aH;-4616.0
3VPjPETpr8oOGQ5TZkNzcn;-5000.0
01YJbrwIf4_xQdSAufjGG0;-4808.0
1T81i_7dn9vhWsHhSjYdUg;-5000.0
3$LQ2sxMP8ahF7PKWbxnuA;-5558.0
14MKBUO$nDGAGGwVNvhZFx;-4516.0
3jO5TqT85DJBgiWtnPvI4h;-4516.0
3w1xxtOT52B8BUE8_I1C3V;-5000.0
3jR8Y4Ztf43R1wPo8$X4vc;-5000.0
0fcc_v9UH8lvgPdyA8ZREZ;-5000.0
2nexoIeHf79uWUq6wEGhvh;-5000.0
14VbGqtcL2zBXoNgYSjF_Q;-5000.0
0yR7_6GX1DOOdRK0yDBL4t;-5000.0
2_qweuwff0YA7WspaiDgFM;-5000.0
1pndq5qLT73QRuvKu7zuyj;-5000.0
2U2IuF5wL9$h8IQ3TApbXk;-5000.0
03EqsG1HnFbxMvwFbqOPmf;-4038.0
3roOQbiED1PvN2xIBQfinN;-5800.0
3xsE8xBfbFPRHe5eOcn9Wm;-5518.0
3oNvEmh1P8COLyhtmMLoZ$;-4351.0
0iLL8nJd1CDAitDyXEkLTr;-4636.0
1PwaoFE750zBDPbwmzA4DX;4548.0
1xTghOA3P2owZ6_NqvWKd8;-4959.0
3TJgtFc8z4Bgi3cBzM9qQS;4966.0
3GyterTzv619$z55vmw7j7;-6110.0
13Nya71M1FEeTknsIAo6Yx;-5800.0
2yQH_reM159uvvpHwI$CCc;-5800.0
0u5wGKJCnF69r4JJGzwH_N;-5451.0
0QfmtCWIPB9x77Zvp0gDz9;-5000.0
1Plb1JM2P4aBkDZg6Prf1x;-4636.0
1dM$YJn1b5TON2qA8KBnFx;-4325.0
0EK1g$MgD9S9G_9EOzsaou;-5037.0
30INz_Jrv4Qu3p5Httmrbt;-5000.0
1_PJ1S8Av3E9soKnmky4mN;-5148.0
3QXdxgZADBn8qcfyf8sPIr;5070.0
0EIlyiYMzDkxSVs7Tg7yAW;4536.0
3MraIYB6bF68947Q5UGmwo;-8598.0
0WzKrNfLTA$u1wXur79Sqv;5000.0
32dbv69oT2rfdPhDAdlDv3;-5000.0
36APBgZBT70QZdwTW0WNkS;-5469.0
15_2Fda2jChuCAQ4QiAFGm;-5800.0
1CDEatGO18WRuVjCwpOBvq;-4669.0
35cQ9eWljAT9wNYhilGeT9;-7638.0
3Rm_VxvB53a94H7A32MbMK;-4968.0
2DYWb1VCH6GhfGlPqqfq$P;-4431.0
1ar6jqJA525xsW7nTZHAA8;-9949.0
0uRq3Xpm1528CnKHoWDCBS;-4548.0
3b7z2otgH9lAfX9D75ftWU;-5000.0
27C7WtD8TEUxHELTFW4Gcf;-7638.0
0BVUYczfL6GBb1OyghrNkl;-4536.0
0yc7z50Kf3vfknHyR1gj$5;4536.0
0lLTvAXYP0dBwMYU0l1r6$;-4536.0
3tPQxwAF12fhnFwsFuoM7g;4536.0
2CoZPUpmvDpeYZh6fSCin4;4536.0
3Ft8s1x097Sw3ElXrWI_o7;-4536.0
3JrYhZSKbEORj1n9nV8J1T;4536.0
2oyABQPVb94voamJEEPtp7;4852.0
0tPDSrYEv18whZAZxrz3cU;-4102.0
1EGVbrIzv9FgytC4OW0SJh;9729.0
3G35WBl0L0T8LieAm026ck;5000.0
0Y8LP0FvT78x4gs9CxodqH;5000.0
2$NbDPNXj3KQzRSbdO3lH8;4650.0
0q_yxvQPPFzA02AMcoak2J;-5000.0
1_nOj$gUP4$AQYWvilD8jI;-5793.0
2Qv40LscHDD9FSrZOpQIKe;-4636.0
25PNH5bu10LOocusz6IxdD;-4626.0
2iajTYf8b6MRH8zIE3a1v4;-4651.0
0xJpXVQAHAMBfDYWUmZb6P;-5000.0
3E$$wwtKX6PAZzKUfuzO0S;5286.0
0JRahfKdH9uxRySr1R1WT5;-4616.0
2srFv1kfv79AgANrBjHzhs;-4651.0
0FRcQgWmLA2QhjhABeHSQ4;9005.0
2zHUx3ZQv4SeD8frQHuwkg;-5351.0
0AM7JWUSD13RW24GNr$7WB;-5236.0
0KPHLrL7j85A1vIb9JWydt;-5125.0
39D9qdvSz3TRnkZHUb0HYD;-5608.0
2xr8tBOWv7PRv6jVDpJ7qE;-7480.0
2QAzqS5Lv5wPy_OPIy_Zn9;5793.0
2ewJ0iLgv2KBLHQybcN9bu;-5000.0
2AdapQ9lH8ve1M2KucGqYA;-6730.0
3CjVdAxxbAPxVL$OXuQ3M_;-4616.0
1Iz1pK9prCUAP9mHAzP3P1;-5000.0
0u4QYzu_LCnwSrfgkTgCZ$;-5000.0
24mAy77FbFGORZZczicu_E;-5000.0
0MGvRSMyf4nBLEaaeOxiFP;-10695.0
1qEG47hDnCiRHGwsxZBUqd;-4616.0
3T5jOzSF13fOV$kTtwc7qi;-5000.0
1VSYpOAu1BO9KFJqBeSLda;-4616.0
3Xyn7B9zz8pub8YjHdr2UO;-5000.0
2mVKnca0DA2QWWypkre7j7;-5000.0
14FZhnc699VvjGgxgN37tG;-5598.0
1hpswTKrL4iwVLJMeZzqSR;-7475.0
1TN8IwfGP529nY6dcPBKhG;5000.0
2XFqmfSrP2EhzWlHvagFiu;-6100.0
0H4z1tIyDEOOMXiP7CWeGW;-5000.0
0pxoq1HQXCx84$Di8x5NYH;-5811.0
3UspcGAwbDU8D7MoEMK12G;-6110.0
2zWgB_9HPFrwo9icX$1iJ9;-5000.0
3MYUljNkb2hAaDrhMehI6U;-9005.0
1KL1$R3Nb5GQHEVa3qHNEV;9729.0
3MxMxsi5j8wQcfzuAPvfYP;-8785.0
1Ag8Kmvw1AS9c0FnOgEsyk;-35753.0
3RVmJjkJL2IP1OA7lwm_hu;-4120.0
3Xd9E4ii128Pk0o4CX83GU;5436.0
3BtThW91j7gev8mEZYM1$T;3973.0
0yNiA3gxD1i90tBc$27nv3;3866.0
2wqo3moZjAbuema_AH_R6F;4449.0
2fVp4s5$f3t8UXIsj_VbwX;-6629.0
1LZZB8tBP7reE2J$w7$XAZ;4980.0
1fZ6LferD2hAltuiJudxBH;-5256.0
0CjC8x0ZL6$9_N7b51jVPA;3930.0
0108Sh4ivFzvn64MRb9w5v;-4121.0
2c5wPVQlL8FgBODqu9DKMR;4851.0
3hV6AEX3HBdOsujIqiY5cf;-12942.0
3t7fXnAJHDlBY3d3RzR3fU;-35753.0
2VyMlr3Af01vMPgqNsVWhM;5548.0
3Gqyjbnh5ChAmjKqH6TjOG;5735.0
0A5U9s1YbCQeYpnvoKG168;-4966.0
3k5dHmNjHDfR34uPOBXCNI;4729.0
3JaJ8Tq2X4QOHKg2ef8Eut;-3828.0
17YB8g9ZDAkPHcp3GpXNoZ;-30362.0
2qspGr6Gr3gehITCmQb4bU;4854.0
1JEJD6erP6XBisIvHRSQCt;5271.0
0EJRlNmWzCoACTOoYe$mi1;-7852.0
2cULWesEP8C8InyjjjGAqe;4154.0
0Mt6wpstDBPfhSibAeL7Y$;3930.0
39acL0uR93SexyO4k6EOft;3930.0
3qnRbsgRTA6OVenXGMIApU;-5230.0
02yQlzCzb8khVlvKI$47m_;4160.0
3uDJkUoKf3O8Mnc6UCTxR0;-35753.0
3jW$SzvFbASxSBUmJ1hl6N;-4654.0
2f0vi_okrEWxpzOVU4YfCK;-5030.0
2cpHs32yH7v8dwApjBYFQL;-4867.0
3MlTIKn855V957tjiesyw$;5280.0
2__k9VFrn7oOc6y0jhGIGJ;5280.0
1L2xNaXTX3EAuiZu6N4Nox;5280.0
0Sn3pZa6nFDPDDKblHDlTD;5280.0
2DTDljLTr4gB1zVq19iR4v;5280.0
13CABBV9P51v6AT$CR5YD5;5996.0
2W4w_R4ozFbApd2$W2iIJ4;3980.0
3oeTMMPg166vcuc6H9TUII;-14374.0
3JRvFilBf6BhG7fKpH6DFz;5753.0
0IovmhdrTAkvcC9g1MzlLb;-5318.0
26f_TKlcD27frLozuZmz1$;4852.0
0mpScRosv6FvEw1c1zdJOR;4852.0
2sC5T5hoH1R9kCoBtlB8pk;4852.0
3P3Wt0yyrDeOPpLXwv2Ftw;4852.0
2o5XtyTND7lhz6GFYXwLeC;4852.0
1W_9_SRr13tQjmcc1ud4i8;4852.0
2we6VH3X5CaxFL2FcHOVsW;-5268.0
2q7CF_dcr93vh6X50VWpx3;5638.0
00Ehee2bD6a9dVFrNCuW1$;5638.0
06MI8Yu3L3kP4fQrJjNW9g;-10681.0
2ERzVgNxT0GAimk3cNhgec;3930.0
0dh9H527P2vwxvndjIIMRN;3930.0
2yOO0hQenCtuq_PS0__oU5;3930.0
3XIbImjY1AjP2gUmqN0lVV;3930.0
33KXAi3AT7gw1My7UBbIlt;3930.0
0w38uNBj5Cx8nuTW79HeF7;3930.0
2hga28Gsb2RQV$qLKxrVVc;3930.0
2cbzLV6an0dfDgGuHbbhO2;3930.0
