GUID;ExtrusionZ (mm)
34qv2x89TEafUCkjpIK2sj;-2340.0
2yFjhtDxz02BArG_apo2p_;-2420.0
1aF9w4Hsj5W9J4iZDKnAG9;4835.0
2vKBehcInEOfptH2Je$8ls;-5152.0
0jbmfUi5f8oxiFZ0MhW50D;-4193.0
1N$mEC7yn41QIX6ed5wus_;-10577.0
0K0OX2xljBzva_nELJoJe0;-2821.0
0YuZBMf_fAqh_lta7bW_fO;-7875.0
1rhPCmUCDF7xhOokxnA2vT;-5312.0
3IuJ9YJNvBj8eQmgkSEFTH;-4995.0
06TkhpXEj81OReDPNmv9Vq;-3195.0
0nfgJ6TUb5whvYkG8NfCXb;-10548.0
1ieDpEDWHAgPfYRWKnkVZs;-3140.0
3NCiddhUj588AefzOgoC3r;2464.0
0qVApLPHXEbhAMlKYaqd5P;5760.0
0dGxP5zdLDSg2Piuu0epQH;-5848.0
2BhX99rbLBZO3ZovM5Z1Sb;-3670.0
0QLBb2cYDFs9GJKywcxUC9;2634.0
1966FTjAfET9p3Qe8tvnzN;-5460.0
1ISA4MjcL1MBonql2Fs2bA;-7870.0
0CzDk3V4nEuxTNVA6MIxlZ;-7870.0
3lMndcoMv5d9bLbI_6l8Y0;-7870.0
0Jk3IuzEnEHwUH7m1R4x9T;2820.0
2iX4pyCUn6iwOqhId3Tk7D;-10818.0
0q9l1c_ujBleiWBvQGxVJa;-3224.0
3YPgnarq14rQNj1t5xiZrH;-10562.0
2F90NG7onAafadtEd1LyPP;-3418.0
1Pf4KSSZr58ur1zsjD8Zcq;-5460.0
3aZ7iM28bF_OF5r_n7IAdf;-6560.0
1T5h0XDFPF79bfPfmsE0Ph;-3195.0
39hcE8ec1DexmxmUYerK6v;-7860.0
08jBImEG17tgGlmv8gCo8S;-4193.0
3FDQ7BxsX1qeJkcJEKfmaY;-2583.0
116rmmsGX279ExG9EfeO0W;-2420.0
2vwyfqebbCF9hUJIFEKzge;-5848.0
3Qpb$zvwPFl98yBijJzZZG;-5606.0
1Oxk2L2kH5ZQNT$$UJWsb1;-6103.0
2W$qFPnh946uVCQDnF$uuw;-5003.0
3wNegBgLrECOzuq1cbrvsR;-6118.0
1Ei_lF7YbEquH8_Yh4hAyb;-4193.0
1qg2HOTinAnAx0Z$1PW_VP;-4193.0
0Yl4x78IvFqezaNjBahr30;-7870.0
1BlqhMxX54tQfObszxKCpZ;-11370.0
2c1nLVx3H709pw_C0uXGKf;-2534.0
03yCzegTT1_hKEADKSn87u;-2418.0
0FWlyaVJn3Sgk45UY_U5bu;2721.0
0MsJx7IiT46B9oH3CvZ75o;-3670.0
2sm7HGFGD4ThMpVyAAbu8W;-7870.0
0O7TleE795yhAEynE2aTQA;-5624.0
23JdM2xN5DRumwmqmzgpa6;-4178.0
13jce4Lw5BhBnK9_3GbwaR;4677.0
0yM6ZDvHn8zuSewj9rWy6H;4657.0
1jiwHNWjXCZfDMsswQ_ONE;-5430.0
3yiGzqbg54pfj7yqHLbaLv;-11375.0
0S9xwG98963gnLgoaYEYKC;-10577.0
0AgLniYH19995s5cp6sfnX;-6880.0
1Q0M7BdFf0hPQzJvo4ZObi;-6860.0
3kl8d8Riv9LA3JDmHbuY7j;-2930.0
3EVaTHP7L5v8Puq6D0gXf9;-5460.0
0xPhvRjZT8iRRcrmKd2qam;-5760.0
1CCYDW9pb22xlFgxU_GjIX;-6860.0
3$J7aFYOv1CRE7487zVCHu;-6860.0
3Y8cPj9nT6nfdcVD_SD2Ea;-3860.0
3cgV$cyR99sB9$Ni$D4FlZ;-7048.0
0xoZ7OC5T2cBrzik_0A82G;-2441.0
275je6eS9BYvPDzsw2mJ$7;-3250.0
2413AvugHEh8v0FmlkSezG;-2634.0
3eIvCt3Cv1Exs55tfnaBZ$;-10562.0
0$HLsY_LnAguqM$iVC_0Hv;-2421.0
3CjpvxuJv668mTK2S0elWC;-2221.0
1Wpu9vAAbFsft1nikUTMVk;-7860.0
2HUvFZpyf1Deh4$CsU9ijA;6265.0
088gnzjPzB5fDrIM60DcS6;-7875.0
34Jiyy4Pb88uhFiuS2LQfo;-7323.0
2SjsbDJbX6iwzZbRaFxJy0;-3195.0
3rdUB2_jDEguWy_20Rreal;-11375.0
0GmTsbHkLDvAUN74ZXPdHZ;-7875.0
1QJl0jWYDFz9U2g92RxJgq;-7870.0
32q_BBZIf96glwijwu9eAK;-7870.0
2fz1$Mvzr9DwqGJdukKnaE;-7870.0
3E7hTDoeL7CuFXvi1C1uHH;-4175.0
25H5lxxo56jve5hthHTw24;-5450.0
1fAMNlJhf42fOE1EXxmcfI;-7870.0
1dICwu9avDyu8IYLwNkVGP;-7277.0
0n9JTEiYL3KQj2disxhiW7;-10577.0
3VcmuZHOr71wJf4LX1nAC0;-6365.0
3Hjn$jfE9D3BkdrdRcZCGM;-7875.0
10RlVxO4P5euvjG$JkvPc6;2120.0
2hj1TxcKX4iwQqMplLqcYp;7645.0
2jVvEwXMP1FfsuhBaB9LwT;2120.0
1lQqAbhDD1rvjWWBzhnxc4;-7575.0
2CA6K_my9C8Rz8JLguxB9R;-7860.0
1udsjpjIP878znX8V7FszI;-6860.0
0sNbzTE_z0EPmxTrK_Cmno;-7875.0
2bNCzqyQf5suCZUl2IW_Ku;-2583.0
2QbtrYQWj5DAcUgsQsX4an;-4880.0
2FapdkHoD7nANbtN91nfLt;8631.0
3fUmVrmgv2bAILkazgrfsS;6265.0
0_MvWjPKD9MBoCpoDGbLZz;8631.0
1$pNslrVP52PPS2sGHao$9;-4355.0
2v3qOgPA11OuFO250bLzcd;2119.0
0FkGJaL95F6uBEDBKlY7ux;2520.0
1jTI1A5Wf5FgMmv9yj$Rfj;-6760.0
0JoltOX4z9tvhf3X3NCMoc;-5538.0
1RhLGKtRXAoAF_YlqClyQQ;-5816.0
0yNiA3gxD1i90tBc$27nv3;-3021.0
1zTqm0lff7zu_1D_$ttP2W;2700.0
1rXVI8EcT6XQY_91N1qzdt;-3200.0
3GibbJXhL2tBb5jzS8OfoJ;2220.0
3euEb$j899SQaBCWwVMa7j;2769.0
2FEI7HcZL64QYTuosgXC5u;2879.0
0ng7L7ekr1Ber6UTnQzm59;2168.0
2woCXUH8X9yv6yf12qq56t;-2220.0
24_D2EXUvDye9rqEXbJeHn;2496.0
3ueoiu2Nf3heJlnkPs1O2a;2703.0
3RvXEwmMfFIRCefPrqT5sy;-3410.0
3brvQUR2bAjuxfm0bxdo7H;-4370.0
0vjd$FMjf4TQJmO1v7D7Ol;3917.0
1JTTZMKpL6_QW9emrRmhvv;2813.0
1syBio1d1EyuhjOnM1wRyy;-2426.0
2opbXE75n2PvqTAcIegTIj;-2646.0
3ln85el3XF6PiWyZ5dlVvz;3103.0
0rOIRq$QD2wxgvQrrGyx2J;-8545.0
2kW4SB0NT6E8ewzV8MIfb$;2247.0
1RQZKIeaXAiAMp5ZqaHSGD;2137.0
2BF3d_y5X3pBs5LPF3QsDO;2754.0
0o3wut6nvCFwoMtwnBkzzk;2150.0
1AtY5fTur1TPH$jYrp3b$Y;-3200.0
2lP73uSG54BOetgUH5gXMX;3445.0
1P98OIl1f0NevuidZD4dBp;-2250.0
3CsZ72XfrAqeCJKLLmCSG3;-2250.0
3s0RXqYhD9YxSJIbEi34CV;-2250.0
34XnSkJVP4PfmStty96ZWW;-2250.0
2UXimvRFT0SwRxUu1e9B0_;-2250.0
2LsYeGjgDEWQbUCDj4hvjY;-2250.0
2ERzVgNxT0GAimk3cNhgec;3269.0
1JPBjFrn98HQH0Uybli6lT;2208.0
3_aq599fb8lwabJ4p6rQjU;2220.0
1g035QOdHE4hx2k$RFU1gi;-2795.0
3DhdhnUoHFiOS69gOVAxcr;3095.0
24oLrfyGHEoQAu5krDC4DW;4928.0
0FKmyBVk97R8TmqcmX1JUG;-3269.0
2Wp_fYjnbAWxd4RtJz7wOi;-3269.0
2q8psv63D1hvBdxvcdOvYc;2221.0
3jhOSA3Ib8UQYuvsQH62wY;2559.0
2ZZ7EN_pH4uwULyzFWiwj2;3349.0
2mYTAYAwL93hqtyepxWmnT;-3200.0
1uSuUHVjj9PwxDG05IJUki;-2810.0
2YVeF9Gx9FNBHOtAHhxJSZ;2942.0
2SgPHJq$zArhA7PSZhpdtM;-2585.0
01CcRUU9LBu9gDrnGCLCXT;-11331.0
3xRr_RZY9AvxjpE1pb8sdN;-2640.0
32nEwqdQDCoBAeTlySeLjr;-9000.0
0qGss7yUj4KQwfMkQcH2lO;2902.0
36XfT4Ytj6IhotIQY05G76;2140.0
0uodJ2jcDCrhe6QTwulyGc;2140.0
3SrmCOZvL9$83hdToqyV$G;-2208.0
3wActNeyj09QzwjzxSUExa;-2208.0
3QYubaKR50PAjMAmMvzYOS;2956.0
3nkj9RQenEO868muPsm04u;2856.0
2n1nMmd4PFl8DaF9RWKRmJ;-6169.0
2L2I1zdV5D1wNgqwcmFMG_;2582.0
2o1Ttt_cXBSQ0F$UiOlUgY;-2252.0
0basrWZ4P0ZeinEaiYyrKi;-2252.0
10anc$h4X9fBdc0oKtX5Wb;-2600.0
1EQACTaVbAn8RiE5opO5TB;-3395.0
088_mpw9PFI8Zopysk3ji3;2693.0
1KuxFDld95kf6roE7ASVSL;-7915.0
36C6x9xIb9XhJwbuwEV7hZ;-2600.0
0x5PsEVSL7iQsue6HcpDMQ;-6925.0
1BQaEb1M90mf8BjuXFG_I3;2700.0
2sdEJvZWTA7Q3ghA67IAkE;-2664.0
36a3mGlYX3b9XsPzwHzCTT;-11475.0
2YStCyk$n82h_$KvHedIEP;2337.0
3A6DD5ZKXETgtMJtEaMwx6;4789.0
2RyM2zJ75AJBxdJXhL_V5r;2831.0
14UJgogPf6WBUOt2YcxMu0;-8760.0
0lpY4v3CX6pxNPRlLVKsK9;-2776.0
1A8oBKjGb0ZRqEEHFk0z9b;-2788.0
3mmqGhlgz03BxJE3VKCB9U;2807.0
38XORgXZP6oh2JKcxhS1Cr;-2613.0
09S21XZtzA$wL$YYQyxZfE;-4539.0
1goe10wmr7TfxLdIJQ4LrA;-4820.0
3c5Nhhs254swqA89DF41$a;-4820.0
3MpwANxlH658xCcqNfOcAE;-2335.0
3XeGGvMy98LeeocChAtpLk;-11260.0
3bML3Z_Yr1w8vTHtvYZGmH;2520.0
3aYWAJQz58oxvm4orDZ8CF;2278.0
0OAgE0Lwv8OQoN$6vUy6qJ;2342.0
16TdYtjCj8D8sRLRKcETYg;2808.0
2i5Qbe$ln2cRRojAzERLFr;-11295.0
3s1MEx_b5E8OZxny3rJSl_;3140.0
1CpBIck4zCYxs7D8O_c2WB;3140.0
3cuwdYtKLB3OS8ez5h73L1;3140.0
1C$b7QAJr0BRojJwi6jp0I;2937.0
0ceE1xHQrD1xrOqIHfm2xM;2790.0
2gt5sIF1T6HegW7aHMEGgr;2208.0
2QqdGGcRL4Dgb_aBIjRjMj;2208.0
2ya50F8Kn9Eh5cPH66SCP1;-3200.0
1mtMOJL91A88ZeTjYA3m0y;2179.0
3frM$TSJDFtva0Zsq2O$OC;-5579.0
3N0l8wv95EbQKqmZdbSif0;2617.0
2LAMdVHFz1i8f4ilf44hbj;-2809.0
3CmEQ2ykLFGQByfchjFrzK;-4284.0
3r$utG6Sb5ivqbJTXhBO9E;3021.0
01zlZARuP20f6qL9e5dtAH;5060.0
2KGiS17YL4ie4sWM6V9ESa;2393.0
1tEvm1pzn7RhMidKdlckmy;2559.0
1WQABKquHEVhQVALlBH7_M;2443.0
0CskARtB16kgeaQ5nr9Xl2;2481.0
1afraUyOH8axcbq52wYeSx;2557.0
23WXKsKML6mulUAkhD0P64;2659.0
2eOPAEOjj5$Bop$bJQtKAT;3192.0
3$2bp0xHb5FusbpuxOkTnh;3007.0
2m9lFCOHv4gQbRsfiw8XY8;-3150.0
0ia3T9yaD3bBYuUyPG1OX7;-2348.0
3vz2qkwp58vfMvfjJ_MnFd;2492.0
1KkpM8XN52ERd_oP1y4$Q4;4963.0
0ZJS1JfXHAWxHNhwFjcSCk;-4033.0
1itDH2cAHFs8cBETqYUzWP;2828.0
1rWigL4lX21gRWcggn1w54;-2221.0
1bTNtLT45ELAPVrAjluiA2;-5565.0
1O4j$Vfl53HeSsKjCu4W41;-3333.0
3CuFfkwCfEvxXEGGiQ7Se$;-10510.0
0oMjB6c7P9kRigIg7JaNC8;2825.0
3UhpyLmlT7dPMtXuFRRgxf;-2634.0
1_CWmPEEf8S9DPWaqDqZap;-2634.0
08IjYHMV1EhwRIYOMHhRX6;3414.0
0fltodrDH0hux2I4NE31LM;-2220.0
2oyoKeLk57aPHDX99BPWoc;2832.0
1CTfD82Jb0nQtnfdyAAAGA;4088.0
020l127jf2AQIdnAezV0s7;-2930.0
3rhtbYgVr24g2qq76x2Y4o;-2242.0
1sVu7IPl98kgUbinWgcMol;-4321.0
0xgPRhIyf7rBZkw6lD4BoA;2621.0
2Vvi3txoPBNgtwTn6$NQkr;-5365.0
3sWZy2ztr0dxeqax1iM2Yf;2632.0
3ICsPrpejAc9fgd28qQMA2;2960.0
3pfqvLQyj44h76Gr3W5QoZ;-2930.0
0FKVYzmib0sOB6njRRjnNz;-4382.0
0NSozImOH4DOHqfJ8kwxTH;2738.0
3HCp4y9ur1je7S4Fjdnn6o;-2330.0
2fAv5Yq6nBk8kJ5wcavCC9;2769.0
0GrhJNjpL0uQp4rw5C5rpz;2959.0
1vJ34QWonCDQ6D$765nx3M;-2701.0
1qwt8NBUn0$Retd5LJjMIY;3380.0
3KkXBMoe57FwQZoIMPLfOX;-3652.0
32KkrKHVD86QfzShFxLeY2;2179.0
0T9zxUzwf8wArSNtf1P2u3;2959.0
2Qx5LTVsv5DgMKhwd5f0kx;2397.0
0sBUQfcMn6m9lLmz4xnnD1;3264.0
04SuOL6Fz6eQOGvPNS6HVJ;-2930.0
05wKNZfur8uBFHjX$275j2;3148.0
2naYp$QPL4ogYb3IqjxMz8;-2930.0
39Sf4uKuLE9ueSGYAgwm73;-2930.0
0tSbO$w6HF3ho1lfYMbyJg;-5538.0
1_d946bWjFgAmlJvSx4F7t;-2653.0
1DVs5Ja0zEVOG$Y2jCIvxw;3415.0
2qwNl1IZz8deGDFy83XDQ2;3380.0
1spA5zKEDExgFa1H6a5aBb;3415.0
1ZjlqiZmzCTe9hhj7FKinM;2147.0
0t7fx14_L6PO1P6M_B9sZw;-2652.0
3CXoJF7Fv5cBgMwQPV_6UJ;-2930.0
1fmr14ZIPE1OlkNVeVmNVt;-5325.0
2JOpL$AGHAy8KbHgXYtsek;-5816.0
1cR009mjP5Ehp3c7ST60la;2828.0
1gi_baEu5AW9lY8GGZK_2H;2259.0
2TBCXAeVX4HRE_P_QCwGAj;2393.0
2pmNSBCqz5qRRqJNgqSsr0;2714.0
0ibTBsaLv7kQAAE7uhyFLP;2714.0
0TEFlX3iL6_BjRK2ImTg8_;-4755.0
144gCmD0v6PQuEEdlHbbUL;-3033.0
0m6x0OxELFRxRzixO8n0mG;2902.0
3M$p4$G8zDpBBj0SJCqmBR;-2990.0
3GESQBeBvCT8c8vg$hF3G1;-3070.0
2TYIX7i7z6mhRO9rtsuClG;3492.0
1mTcCNNjb2AebiZX8FBht2;-10350.0
3P_P0z7X1FuecfegVlKzTN;-2707.0
38BSF5_xzAhubkh8S3VzoY;-11545.0
2ByibzEUX7zRNgpVXHcNFx;4963.0
24UrWSgpXClfaqElWT2ZNw;-3035.0
