GUID;HEIGHT (mm)
0a7ryU68fB9x$j43dy_Ol2;823.0
3xgof8bFb3pO1oB3_Lldz5;3261.0
15K4vd0bH2GvDMrCimCQAK;990.0
2cKXQWmMfElhP0wAlntAxV;990.0
2WvBqFr7LF0w7aSMp2u9ep;990.0
3p$Cu8eEL8ZgBpYaFiBFx$;990.0
2sXJlzAbDBy90mrg6hdKEv;990.0
2GHRUdVTvBLPUdFTN8yOXy;1320.0
3hj0nS14bFxBn7uCEa7lnX;1165.0
0$Tq9T7TbCiQ0hlZuTbca$;1165.0
3$SQ8bWQL9AAh4MQgi_wbi;1165.0
3ukYdfzYP1TfYOTQbBRwBR;1165.0
0tUb7XxNPDlO0rdXU17AKa;1165.0
2XX2GQMG14IhqD4u6XDOKB;1165.0
3idPNgWpj0TvsHsOXTLs3J;1165.0
0eC49Vr3918Op70OL7$unR;1165.0
2IKQ8waen2o8rklzI7ad0b;1165.0
1Ijnc2HHzE4wBGf2g2CET5;1165.0
3ZJuxLW1bBj9iDpJrk82zc;1165.0
04CX94iJ1DfQKmf6g_UQb9;1165.0
1h1857t2vEbvjRKYmhkBse;995.0
0BDeM8$X1EQR8bzXG3zGOt;829.0
1O$cgPK619pv9j0R6LsJpi;1180.0
3uJ8HWyGL639Kd$1eCxOtF;983.0
3JqpS3cr92lPn06USY8y7_;920.0
3wPj7Kx3n1puMSee5KF_2w;990.0
1lwk6_Wzb63P7CeNRcqu7X;2033.0
19__QIq$1BEPgPzNkI5Tx5;1130.0
3a7MJR$mn6af2NGG8byAc0;815.0
3pZthH0mPC0vAHN3ObN$wM;815.0
0hxHmmpSD7UR7rn3E7fWSp;815.0
1yd$0fl7P0CuMwNSqr7QdH;815.0
3ZBhVAwFHEH8G7p9719DLl;982.0
2yqbCls8f6Uuiwi1MMNcMW;982.0
3$g7GzgP9DOOwtH3Ggt4VL;982.0
08am9c7X1CdPIWQdoPeurc;982.0
22qgdGWNn40hAqkbtFrjqp;982.0
3Cc4HbvSj4Kefs0XpRbXjj;982.0
3hRxK9_yj3HPljN$p6d$Wr;982.0
2QkbUvSRHFSxrpRreIayUF;982.0
1wYzyR$cLEN8lgu51UcDQz;982.0
3VuL$rqc5FDhRc28S2Emha;982.0
0zbcWBYiXElx7wNj2EPd59;982.0
3bYWvnGWn2Jut3Frxfv$13;982.0
2IAVbkS8XDuu3lINl5WgXD;982.0
1WgjyATYDDw9YxgHrCp2CX;982.0
3He7vLg$f2A9AFN6ZsYEUb;982.0
36oeNaStX6vgLSW2fcu0Fl;982.0
2uxGQ35691jRZN_Bc5TJPV;982.0
3k5DOw9ez05Re_$Znl8G88;1678.0
0Zey9zCAH6EPkSQM9ac2Mo;960.0
1chZfIcT18ivp5K1fruT21;1090.0
3My4U1Pxr78w5E6$Ihzo5x;1000.0
0$BmMX7MrBi9Pdmvf641IP;995.0
1TKzqCdJL6gPabUupVj47y;830.0
2SJmQWhxjAS9hbitn$NX$i;854.0
1n_08BslLDOB58n3Vy68l5;1687.0
31Xzcbpz18zhPeLtZBkoOH;1140.0
05DioXUr5DJepx8d_Q1BZ8;1140.0
02KruyFNnFKetj2RqNJJ8s;995.0
0yU574mPz8KvQ$eNtVt$Oc;995.0
06XPkGA$HAuOSKV9cqhMtH;995.0
2IqYR3Rdb51uq6WlgE5Pus;995.0
3y8eL$rBb3rvnpLDPJveqt;995.0
2PClF6uVLCnf5v74YxAZz6;995.0
1bSNfOOVP1jxtMZEQc3bup;995.0
3OvTxNHcnA5QGx1kFPLbvE;995.0
2_Wwxpqrn1QvkfaNqAOTGt;995.0
212CaICpHBZw9MI$Hh3cig;995.0
2QnLuisCP81hVE_3LsX0Kz;995.0
0n2JGSqAH7GAhf2OjzWaSH;995.0
