GUID;CenterOfGravityX (mm)
0E6g3$Dw57tfACgI0OfFU1;212832.0
2zJ1Wa1L1F79ZViXpQK1UQ;208844.0
0ArL2FpkzAxAyeRFm7G6Ka;210747.0
0mELjJbuv6iuue1pKUqn9Z;208350.0
2QVSpPSYj99hIXCi1z6qcp;212663.0
2zSkQ6315AzRjdUbCgIJcW;212663.0
2iRtgRkVb80O7_OTs0H$eY;208790.0
1iEBGFlWf0Qg2a3Vd_KAVB;208570.0
3HItRFFfT3tf$4buINqjTB;208570.0
14pyBgW_91bv$v7JIXUa9E;208732.0
1e$0BrGmT7XuppHG5zDQD8;213140.0
2zDKqUnmzE8etkjsGyd4q$;210567.0
3z3xueHYr0puT82YSZNqOh;213140.0
1WfnUPUdr8ewSI$cXXXGDH;212700.0
3Vf5JbEsD7khaxgO2cmwAZ;208570.0
1tBpND01T37APCJmrJEDJr;208710.0
3YliBmn8fFlRNIFFg$Gpx5;208570.0
2ZFPSFBkz6gxS7qXfqqX1f;213140.0
1QC6ZFwu9AcfdIo4Y0NJD4;208790.0
0Rih_ddpX0ofpf9rLqVzu9;208790.0
3a702NLnv1qPjq7u3qrxwC;208350.0
1qX6fLsEn0JOm13sNBudcI;213140.0
1q9k7YdGf3a8E8EOq$eEh6;212700.0
013ZKK9Vr5UPPICxcyp4Hw;212700.0
0Ii4zDjKz7ieYjsnpRcYgG;208790.0
0WYsNehJb3SPgqjGrzb6ZW;208350.0
00E84tnb58Ihg$icC3nc0c;208296.0
0sE2nFIvX06ffgZpIVS$f3;212646.0
31Qmqa8Rz358I9E8NQk96E;210923.0
3OzSTO5Ir5RONxIaOFGf9C;208313.0
2dFPZKgQf1jR4IMXmmBVw5;208827.0
2g9$WJ5jLBu8_sdOr1lW8L;208788.0
089k5sQUf388JPsaWsnIv0;212646.0
17_lw2ebj29uXfaBaRfmwR;208844.0
3wZczuwUTEgxn666h3rj2d;210571.0
3G7X1P6fHFlwgQJjmIeYg$;208570.0
0r4$EwmxH77xmFpj_JzoP4;208570.0
32m_Vuhdj9YhsLLSijMMST;208462.0
2UxmaAlkPCdRsCukKHjDkq;208641.0
1P5wrxQNr2AOtoSe8LtPkc;208658.0
0WKWDxLyjFY9dDrKA5_v8N;212920.0
22F7rQIRX4deox5CveRzWb;212920.0
2_bhCEZMLCqPXr73_8GT7e;212920.0
2GNJvty2D8HQ1OOjJXkh4y;212920.0
39Zb9bUGH8dAZmUOOJx7hq;212780.0
10soyi2Cz9bQENY37m9ew_;212920.0
3l$lDRrpb1UeTZHW_yW$rZ;212830.0
1cPfv3omL9neba2UfMZyto;212920.0
3d1oWqYRT5OAd5NhEn3BSa;210745.0
1KSMOrR1r8VwxwPu7DWf_f;210748.0
3XS28rUlT2tBN9l8U55LLY;210746.0
3lh5_WXbj7vASe0UQWCHwU;208570.0
26BDqz_k13Zgzj6S8rvP2h;208806.0
097RDePAr19uwjsSzVopAF;212920.0
