GUID;OriginX (mm)
1QR00dj9T11u5P2AbvRAbx;210745.0
2$r3GLaq16ax_FY8AfddG7;210745.0
1_Ekb29SP3Jg0M6eAR4Hqo;212560.0
3YjDlO0Zf1vQ1zUlyeqydU;212915.0
3Sl2wke8jAJP9_PwGBQ84j;212560.0
1s0TKXS8T33f8bI8e7N_78;208210.0
1F4nipdln9GxU7VrwGMSTJ;213070.0
1rUej8ozr5Of4HcvtdUsGx;213070.0
0voF$u2HzE6etTTj2zVxLO;212925.0
13Xozti1L5a8GFzpdESu$u;212925.0
2QIxdA7299YBQ52A6OV1Ks;212925.0
2dkzkvO5X2Nh9cKSDCLxzj;208565.0
3zFCWsvVf7$PjfyZs5Kqq8;212926.0
36o$6Tlzb1689$$STG3XGI;212925.0
1GQ2ZusUnB5xAU9cUgKWLy;212926.0
2Fow0Mcm52H91blHDapBAH;208565.0
0ZO1Sgqez5vADgKHqihO_H;208852.0
3rwaYCW255CAxAId1kwVNJ;210718.0
3Tu0pf4c53F9uXC5ttSQVj;210523.0
0iUkSdq5X5fPyNim4aBybp;211005.0
1g6zHcze12Q8xXMQmqfDnx;208574.0
3Selp9aSr75eLGEvPrV3wz;212916.0
2G2BnCrLv85PiFs6QV9maD;210728.0
2ijgrmQHbDWAUuzyHEy0sE;210967.0
2A6$hWV9P4HeD$x$MHB9zL;210772.0
11WtS9Ot5AqPRmdcThA5e_;210652.0
3axDMG8DjFpOxqVHFt6qKz;212920.0
186PbxNCL8JwhNX5AIXu13;210651.0
3RYrWCmBr3axrTV9P9ifiO;208827.0
02I_TJ2TP6BvhMYQdlwOH4;212924.0
0AG0lFnP9B0ghEcdEtoPJL;208742.0
392glCDcL5_O0ECccZfHdl;210488.0
27mUu3YR5D9f$xY3uOAd45;212920.0
2Pwk7RsIPBFQoRYj8_fcOH;209117.0
1d1FsHg6X2_whm8K7TegaH;210672.0
0QRwPGpIn91Bem8LODbR$Y;212517.0
0weQbe7wz3bPAWVbnDTdJZ;208937.0
1ytF4urpnEjAlZUqZikiKL;212560.0
166bDLHLH9kuPZwx0$rPg1;212373.0
1FoPfmld55aOIAwRYqAoSg;208964.0
3vDfqk41v7SxHTiKTL7THo;209152.0
2ixZkUTd51DguUjGaOjgDk;210676.0
28qAhQYK5AkhRoQGDSjY1N;211002.0
21znEljC1ARv2OD1b1ICUP;210814.0
1DHysvSKP1T9IT0RcajT1_;212920.0
3WzzEi4rzFufB_299fIimx;212920.0
0L3TFLFML76wERoROcQTXJ;212920.0
2kIfwiuh92hPpvja9diLuD;208566.0
24aKcJzCH2lhHJcvwo2rEC;210954.0
0W6$5LttPD3vnae$mnuLnT;210760.0
3tnyQse4XAUf4CXpwHKKGw;212915.0
3Cv9AnIyDEBxzJVrkEG_JO;212758.0
2RsyjpbH19FR1$NxrL8Hdb;208295.0
0_pkwqr7j0_9Es5Oa5U719;210993.0
27dhTgqzXFdPUuUv6v3FKz;208400.0
0E6g3$Dw57tfACgI0OfFU1;212792.0
2zJ1Wa1L1F79ZViXpQK1UQ;208844.0
0ArL2FpkzAxAyeRFm7G6Ka;208574.0
0mELjJbuv6iuue1pKUqn9Z;208400.0
2QVSpPSYj99hIXCi1z6qcp;212662.0
2zSkQ6315AzRjdUbCgIJcW;212662.0
2iRtgRkVb80O7_OTs0H$eY;208840.0
1iEBGFlWf0Qg2a3Vd_KAVB;208570.0
3HItRFFfT3tf$4buINqjTB;208880.0
14pyBgW_91bv$v7JIXUa9E;208732.0
1e$0BrGmT7XuppHG5zDQD8;213190.0
2zDKqUnmzE8etkjsGyd4q$;210492.0
3z3xueHYr0puT82YSZNqOh;213190.0
1WfnUPUdr8ewSI$cXXXGDH;212750.0
3Vf5JbEsD7khaxgO2cmwAZ;208439.0
1tBpND01T37APCJmrJEDJr;208710.0
3YliBmn8fFlRNIFFg$Gpx5;208570.0
2ZFPSFBkz6gxS7qXfqqX1f;213190.0
1QC6ZFwu9AcfdIo4Y0NJD4;208840.0
0Rih_ddpX0ofpf9rLqVzu9;208840.0
3a702NLnv1qPjq7u3qrxwC;208400.0
1qX6fLsEn0JOm13sNBudcI;213190.0
1q9k7YdGf3a8E8EOq$eEh6;212750.0
013ZKK9Vr5UPPICxcyp4Hw;212750.0
0Ii4zDjKz7ieYjsnpRcYgG;208840.0
0WYsNehJb3SPgqjGrzb6ZW;208400.0
00E84tnb58Ihg$icC3nc0c;208295.0
0sE2nFIvX06ffgZpIVS$f3;212645.0
31Qmqa8Rz358I9E8NQk96E;210998.0
3OzSTO5Ir5RONxIaOFGf9C;208312.0
2dFPZKgQf1jR4IMXmmBVw5;208827.0
2g9$WJ5jLBu8_sdOr1lW8L;208573.0
089k5sQUf388JPsaWsnIv0;212645.0
17_lw2ebj29uXfaBaRfmwR;208844.0
3wZczuwUTEgxn666h3rj2d;210497.0
3G7X1P6fHFlwgQJjmIeYg$;208570.0
0r4$EwmxH77xmFpj_JzoP4;208570.0
32m_Vuhdj9YhsLLSijMMST;208566.0
2UxmaAlkPCdRsCukKHjDkq;208826.0
1P5wrxQNr2AOtoSe8LtPkc;208698.0
0WKWDxLyjFY9dDrKA5_v8N;212920.0
22F7rQIRX4deox5CveRzWb;212920.0
2_bhCEZMLCqPXr73_8GT7e;212920.0
2GNJvty2D8HQ1OOjJXkh4y;212920.0
39Zb9bUGH8dAZmUOOJx7hq;212780.0
10soyi2Cz9bQENY37m9ew_;212920.0
3l$lDRrpb1UeTZHW_yW$rZ;212790.0
1cPfv3omL9neba2UfMZyto;212920.0
3d1oWqYRT5OAd5NhEn3BSa;211187.0
1KSMOrR1r8VwxwPu7DWf_f;212918.0
3XS28rUlT2tBN9l8U55LLY;211189.0
0Z5wReL_P4CwmYvYHGvomu;208566.0
3lh5_WXbj7vASe0UQWCHwU;208570.0
26BDqz_k13Zgzj6S8rvP2h;208574.0
097RDePAr19uwjsSzVopAF;213230.0
0DSvaAtH5ATgdiZz7Dc4a_;212920.0
0q1c36vCrBshD5jdVTJpFR;213230.0
3jsBqM3ozBPej4Yh2oQkP$;212917.0
0yiBaDUuv3Vg0STFNLwKDC;212920.0
0rY3b_cKz80un2HLQw6dcN;212920.0
0BFk$zbG5FtRbDV0iSo0Ya;208880.0
1FkWx6Jv143R46jTzqYgAa;208570.0
26x8A4$Lz6oROHfFA22qSZ;208312.0
0hQNifNS9CW8L2bmmWKNdf;212916.0
1NrXl4e$PB7g2jseFnuzhJ;236221.0
